iter	RMSE
874	87439.25574
875	87317.0846
876	87210.28891
877	87141.64057
878	87060.44921
879	86936.98619
880	86879.82574
881	86828.82577
882	86689.97378
883	86575.98062
884	86477.83583
885	86471.68451
886	86364.03642
887	86337.72652
888	86270.30274
889	86229.59941
890	86113.08653
891	86063.33406
892	85984.69938
893	85864.77547
894	85776.54456
895	85698.85089
896	85600.24458
897	85528.77605
898	85398.24303
899	85274.1797
900	85183.6751
901	85128.10576
902	85092.78723
903	85037.60332
904	84973.88433
905	84919.16827
906	84813.8791
907	84679.75021
908	84539.59607
909	84450.33946
910	84383.69586
911	84311.67303
912	84214.41999
913	84093.2597
914	84009.93086
915	83941.2961
916	83867.74759
917	83745.0646
918	83661.16056
919	83586.9072
920	83526.2237
921	83469.53422
922	83348.96491
923	83324.34783
924	83234.80991
925	83225.28094
926	83160.0073
927	83043.82961
928	82855.15345
929	82715.75366
930	82641.68655
931	82577.7162
932	82466.25708
933	82395.58661
934	82325.44174
935	82222.87321
936	82176.38126
937	82129.56446
938	82080.74571
939	82054.73977
940	81966.97337
941	81915.52016
942	81864.28896
943	81812.35501
944	81728.18527
945	81660.92049
946	81615.38287
947	81509.88787
948	81440.83951
949	81370.23668
950	81326.6136
951	81216.57709
952	81127.66545
953	81061.15619
954	80997.75399
955	80888.45474
956	80822.44118
957	80686.9575
958	80595.1077
959	80552.85697
960	80515.93202
961	80456.6068
962	80375.83572
963	80313.16354
964	80309.94372
965	80231.61381
966	80128.52034
967	80101.88579
968	80087.78174
969	79990.03225
970	79914.72914
971	79827.15284
972	79783.13525
973	79761.83531
974	79720.11876
975	79621.60555
976	79536.48793
977	79492.49604
978	79469.40383
979	79387.7899
980	79358.08978
981	79235.53331
982	79202.39648
983	79145.46146
984	79085.97984
985	79060.97149
986	79036.79909
987	78961.46886
988	78898.05898
989	78857.54701
990	78769.51339
991	78750.29918
992	78632.35394
993	78577.49641
994	78520.72366
995	78502.4535
996	78433.79957
997	78430.83654
998	78317.9996
999	78247.74369
